Rank,Color
-132,#e77f76
-131,#e77f76
-130,#e78178
-129,#e78178
-128,#e8837a
-127,#e8837a
-126,#e8857c
-125,#e8857c
-124,#e8877e
-123,#e8877e
-122,#e98981
-121,#e98981
-120,#e98b83
-119,#e98b83
-118,#ea8d85
-117,#ea8d85
-116,#ea8f87
-115,#ea8f87
-114,#ea9189
-113,#ea9189
-112,#eb938b
-111,#eb938b
-110,#eb958e
-109,#eb958e
-108,#ec9790
-107,#ec9790
-106,#ec9992
-105,#ec9992
-104,#ec9b94
-103,#ec9b94
-102,#ed9d96
-101,#ed9d96
-100,#ed9f98
-99,#ed9f98
-98,#eda19b
-97,#eda19b
-96,#eea39d
-95,#eea39d
-94,#eea59f
-93,#eea59f
-92,#efa7a1
-91,#efa7a1
-90,#efa9a3
-89,#efa9a3
-88,#efaba5
-87,#efaba5
-86,#f0ada8
-85,#f0ada8
-84,#f0afaa
-83,#f0afaa
-82,#f1b1ac
-81,#f1b1ac
-80,#f1b3ae
-79,#f1b3ae
-78,#f1b5b0
-77,#f1b5b0
-76,#f2b7b2
-75,#f2b7b2
-74,#f2b9b5
-73,#f2b9b5
-72,#f3bbb7
-71,#f3bbb7
-70,#f3bdb9
-69,#f3bdb9
-68,#f3c0bb
-67,#f3c0bb
-66,#f4c2bd
-65,#f4c2bd
-64,#f4c4bf
-63,#f4c4bf
-62,#f4c6c2
-61,#f4c6c2
-60,#f5c8c4
-59,#f5c8c4
-58,#f5cac6
-57,#f5cac6
-56,#f6ccc8
-55,#f6ccc8
-54,#f6ceca
-53,#f6ceca
-52,#f6d0cc
-51,#f6d0cc
-50,#f7d2cf
-49,#f7d2cf
-48,#f7d4d1
-47,#f7d4d1
-46,#f8d6d3
-45,#f8d6d3
-44,#f8d8d5
-43,#f8d8d5
-42,#f8dad7
-41,#f8dad7
-40,#f9dcda
-39,#f9dcda
-38,#f9dedc
-37,#f9dedc
-36,#f9e0de
-35,#f9e0de
-34,#fae2e0
-33,#fae2e0
-32,#fae4e2
-31,#fae4e2
-30,#fbe6e4
-29,#fbe6e4
-28,#fbe8e7
-27,#fbe8e7
-26,#fbeae9
-25,#fbeae9
-24,#fceceb
-23,#fceceb
-22,#fceeed
-21,#fceeed
-20,#fdf0ef
-19,#fdf0ef
-18,#fdf2f1
-17,#fdf2f1
-16,#fdf4f4
-15,#fdf4f4
-14,#fef6f6
-13,#fef6f6
-12,#fef8f8
-11,#fef8f8
-10,#fffafa
-9,#fffafa
-8,#fffcfc
-7,#fffcfc
-6,#fffefe
-5,#fffefe
-4,#fdfefe
-3,#fdfefe
-2,#fbfdfc
-1,#fbfdfc
1,#fbfdfc
2,#fbfdfc
3,#fdfefe
4,#fdfefe
5,#fffefe
6,#fffefe
7,#fffcfc
8,#fffcfc
9,#fffafa
10,#fffafa
11,#fef8f8
12,#fef8f8
13,#fef6f6
14,#fef6f6
15,#fdf4f4
16,#fdf4f4
17,#fdf2f1
18,#fdf2f1
19,#fdf0ef
20,#fdf0ef
21,#fceeed
22,#fceeed
23,#fceceb
24,#fceceb
25,#fbeae9
26,#fbeae9
27,#fbe8e7
28,#fbe8e7
29,#fbe6e4
30,#fbe6e4
31,#fae4e2
32,#fae4e2
33,#fae2e0
34,#fae2e0
35,#f9e0de
36,#f9e0de
37,#f9dedc
38,#f9dedc
39,#f9dcda
40,#f9dcda
41,#f8dad7
42,#f8dad7
43,#f8d8d5
44,#f8d8d5
45,#f8d6d3
46,#f8d6d3
47,#f7d4d1
48,#f7d4d1
49,#f7d2cf
50,#f7d2cf
51,#f6d0cc
52,#f6d0cc
53,#f6ceca
54,#f6ceca
55,#f6ccc8
56,#f6ccc8
57,#f5cac6
58,#f5cac6
59,#f5c8c4
60,#f5c8c4
61,#f4c6c2
62,#f4c6c2
63,#f4c4bf
64,#f4c4bf
65,#f4c2bd
66,#f4c2bd
67,#f3c0bb
68,#f3c0bb
69,#f3bdb9
70,#f3bdb9
71,#f3bbb7
72,#f3bbb7
73,#f2b9b5
74,#f2b9b5
75,#f2b7b2
76,#f2b7b2
77,#f1b5b0
78,#f1b5b0
79,#f1b3ae
80,#f1b3ae
81,#f1b1ac
82,#f1b1ac
83,#f0afaa
84,#f0afaa
85,#f0ada8
86,#f0ada8
87,#efaba5
88,#efaba5
89,#efa9a3
90,#efa9a3
91,#efa7a1
92,#efa7a1
93,#eea59f
94,#eea59f
95,#eea39d
96,#eea39d
97,#eda19b
98,#eda19b
99,#ed9f98
100,#ed9f98
101,#ed9d96
102,#ed9d96
103,#ec9b94
104,#ec9b94
105,#ec9992
106,#ec9992
107,#ec9790
108,#ec9790
109,#eb958e
110,#eb958e
111,#eb938b
112,#eb938b
113,#ea9189
114,#ea9189
115,#ea8f87
116,#ea8f87
117,#ea8d85
118,#ea8d85
119,#e98b83
120,#e98b83
121,#e98981
122,#e98981
123,#e8877e
124,#e8877e
125,#e8857c
126,#e8857c
127,#e8837a
128,#e8837a
129,#e78178
130,#e78178
131,#e77f76
132,#e77f76
