"","X11.28","team","conference","offense.plays","offense.drives","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.powerSuccess","offense.stuffRate","offense.lineYards","offense.lineYardsTotal","offense.secondLevelYards","offense.secondLevelYardsTotal","offense.openFieldYards","offense.openFieldYardsTotal","offense.totalOpportunies","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","offense.havoc.total","offense.havoc.frontSeven","offense.havoc.db","offense.standardDowns.rate","offense.standardDowns.ppa","offense.standardDowns.successRate","offense.standardDowns.explosiveness","offense.passingDowns.rate","offense.passingDowns.ppa","offense.passingDowns.successRate","offense.passingDowns.explosiveness","offense.rushingPlays.rate","offense.rushingPlays.ppa","offense.rushingPlays.totalPPA","offense.rushingPlays.successRate","offense.rushingPlays.explosiveness","offense.passingPlays.rate","offense.passingPlays.ppa","offense.passingPlays.totalPPA","offense.passingPlays.successRate","offense.passingPlays.explosiveness","defense.plays","defense.drives","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.powerSuccess","defense.stuffRate","defense.lineYards","defense.lineYardsTotal","defense.secondLevelYards","defense.secondLevelYardsTotal","defense.openFieldYards","defense.openFieldYardsTotal","defense.totalOpportunies","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","defense.havoc.total","defense.havoc.frontSeven","defense.havoc.db","defense.standardDowns.rate","defense.standardDowns.ppa","defense.standardDowns.successRate","defense.standardDowns.explosiveness","defense.passingDowns.rate","defense.passingDowns.ppa","defense.passingDowns.totalPPA","defense.passingDowns.successRate","defense.passingDowns.explosiveness","defense.rushingPlays.rate","defense.rushingPlays.ppa","defense.rushingPlays.totalPPA","defense.rushingPlays.successRate","defense.rushingPlays.explosiveness","defense.passingPlays.rate","defense.passingPlays.ppa","defense.passingPlays.successRate","defense.passingPlays.explosiveness","SP","TAN","logo","color","alt_color"
"1",2021,"Air Force","Mountain West",780,120,0.27230255,212.395989,0.45641026,1.16726598,0.7826087,0.11061947,3.45958702,2346,1.07817109,731,1.2640118,857,61,4.39344262,69.2,1.464,0.10641026,0.08076923,0.02564103,0.73205128,0.20670008,0.50788091,0.96429498,0.26794872,0.45153228,0.31578947,2.05910828,0.86923077,0.2681949,181.836144,0.4719764,1.05317041,0.12692308,0.35490372,35.1354685,0.36363636,2.18144884,608,116,0.16648435,101.222485,0.36348684,1.40013715,0.89285714,0.15878378,2.90168919,859,0.90540541,268,1.16554054,345,47,3.5106383,73,-1.189,0.21381579,0.14144737,0.07236842,0.62171053,0.08945584,0.41005291,1.0936614,0.37828947,0.29307904,54.798438,0.28695652,2.11989082,0.48684211,0.17216586,50.9610951,0.35472973,1.18734387,0.50657895,0.17791701,0.37662338,1.59275176,7.1,79.5,"http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","#004a7b","#ffffff"
"2",2021,"Akron","Mid-American",678,115,0.16352578,110.87048,0.4100295,1.33061481,0.63888889,0.15483871,3.20387097,993,1.20322581,373,1.30322581,404,42,3.83333333,73.7,1.132,0.2920354,0.25073746,0.04129794,0.66076696,0.11583856,0.47321429,1.12543273,0.33923304,0.25641219,0.28695652,1.98968453,0.45722714,0.16055088,49.770773,0.40967742,1.12265128,0.53982301,0.17661688,64.6417797,0.41256831,1.50552454,655,110,0.42094653,275.719977,0.55267176,1.25091584,0.84210526,0.12727273,3.82077922,1471,1.62857143,627,1.96363636,756,64,5.515625,70.4,-1.403,0.15419847,0.11908397,0.0351145,0.74198473,0.39743993,0.61522634,1.11609494,0.25801527,0.48854538,115.061081,0.37278107,1.89078013,0.58778626,0.42549996,163.817485,0.58701299,1.0542277,0.41068702,0.42773636,0.50557621,1.57776525,-23,50,"http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","#00285e","#84754e"
"3",2021,"Alabama","SEC",887,147,0.31975329,283.621172,0.47688839,1.36124396,0.703125,0.20681265,3.04452555,1251,1.20681265,496,1.08515815,446,84,4.75,69.8,1.441,0.14656144,0.11499436,0.03156708,0.69673055,0.15748998,0.49838188,1.03152122,0.30326945,0.69253668,0.42750929,2.24432747,0.46335964,0.1464512,60.1914432,0.48418491,0.9006874,0.53551297,0.47195095,224.176702,0.47157895,1.77039912,761,150,0.06266849,47.6907233,0.36925099,1.27297008,0.625,0.2407932,2.33541076,824,0.82152975,290,0.53824363,190,47,4,73.3,-1.151,0.20236531,0.14191853,0.06044678,0.64651774,-0.0002518,0.42886179,1.06291562,0.35348226,0.17774941,68.6773178,0.26022305,1.90613423,0.46386334,-0.057336,-20.239622,0.34844193,0.86826554,0.5348226,0.16874034,0.38820639,1.58802487,26.5,99.5,"http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","#690014","#828A8F"
"4",2021,"Appalachian State","Sun Belt",822,142,0.27773674,228.2996,0.45863747,1.27951885,0.77272727,0.14712154,3.17206823,1488,1.0533049,494,0.97867804,459,76,4.57894737,68.9,1.509,0.14355231,0.08029197,0.06326034,0.70924574,0.24845065,0.52144082,1.09633059,0.29075426,0.3491752,0.30543933,2.04238506,0.57055961,0.15511864,72.7506436,0.43496802,0.96236261,0.42944039,0.4406486,155.548956,0.49008499,1.65350656,768,146,0.04385887,33.6836099,0.36588542,1.27843951,0.625,0.27393617,2.32473404,874,0.93351064,351,0.85638298,322,57,2.94736842,72.4,-1.23,0.20703125,0.14322917,0.06380208,0.64973958,0.03281357,0.43486974,1.04084291,0.35026042,0.0643481,25.8938284,0.23791822,2.0840405,0.48958333,0.0207175,7.78978148,0.3537234,1.07493056,0.51041667,0.06605568,0.37755102,1.46132256,12.3,84.5,"http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","#000000","#ffcd00"
"5",2021,"Arizona","Pac-12",873,146,0.03336072,29.1239057,0.38029782,1.16940234,0.72222222,0.17994859,2.88277635,1121,1.00514139,391,1.0437018,406,59,2.55932203,74.7,1.043,0.15922108,0.11569301,0.04352806,0.64604811,-0.0592093,0.45035461,0.88740046,0.35395189,0.2023234,0.25242718,2.08771616,0.44558992,0.07140243,27.7755441,0.40874036,0.88510251,0.54982818,0.0401555,19.274638,0.36041667,1.43069525,737,143,0.22253618,164.009163,0.41791045,1.33715175,0.73214286,0.17551963,3.07990762,1334,1.12702079,488,1.35796767,588,58,4.60344828,72.8,-1.191,0.1641791,0.10719132,0.05698779,0.67571235,0.153048,0.46787149,1.04020153,0.32428765,0.36732744,108.709773,0.31380753,2.25967709,0.58751696,0.15143959,65.5733426,0.43648961,0.98809434,0.40841248,0.36116204,0.39534884,1.89153704,-12.2,67,"http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","#CC0033","#003366"
"6",2021,"Arizona State","Pac-12",742,133,0.32011422,237.524753,0.50404313,1.19006538,0.85714286,0.1353211,3.66972477,1600,1.48165138,646,1.48394495,647,66,4.3030303,71.2,1.327,0.13342318,0.10512129,0.02830189,0.72102426,0.27168609,0.57383178,0.99950437,0.27897574,0.44527871,0.3236715,2.06323296,0.58760108,0.34760376,151.555238,0.55963303,1.0001903,0.4083558,0.3060343,92.7283915,0.4290429,1.54644629,787,138,0.11281203,88.7830645,0.39644219,1.19101469,0.78,0.15151515,2.99848485,1187,1.02525253,406,0.97727273,387,68,3.42647059,72.1,-1.278,0.17153748,0.10292249,0.06861499,0.6747141,0.07065694,0.45762712,1.03838053,0.3252859,0.20025089,43.8381703,0.26953125,1.7285524,0.50317662,0.13776225,54.5538514,0.41161616,0.96660902,0.49047014,0.11357039,0.38601036,1.43650546,13,85,"http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","#942139","#FFC627"
"7",2021,"Arkansas","SEC",814,149,0.28379958,231.01286,0.44348894,1.29939481,0.77777778,0.18787879,3.24525253,1606,1.35353535,670,1.47676768,731,72,3.625,72.8,1.213,0.16339066,0.12039312,0.04299754,0.68796069,0.2091384,0.50357143,1.10520465,0.31203931,0.44840692,0.31102362,1.99257996,0.60810811,0.21697113,107.400711,0.46262626,1.06937751,0.38943489,0.39811071,126.201095,0.41640379,1.69843998,812,148,0.13608509,110.501092,0.40024631,1.22155746,0.640625,0.20316027,2.85191874,1263,0.90970655,403,0.91422122,405,63,3.22222222,71.4,-1.278,0.1637931,0.10344828,0.06034483,0.68596059,0.10233256,0.47935368,1.01004824,0.31403941,0.2098112,88.1118623,0.22745098,2.19522924,0.5455665,0.0549637,24.3489172,0.40857788,0.90929368,0.45197044,0.24008682,0.39237057,1.61405569,13.1,88,"http://a.espncdn.com/i/teamlogos/ncaa/500/8.png","#9c1831","#000000"
"8",2021,"Arkansas State","Sun Belt",727,138,0.12801484,93.0667887,0.36726272,1.35330356,0.60869565,0.17374517,2.93397683,760,1.11196911,288,1.03861004,269,60,3.36666667,74.4,1.11,0.28198074,0.16231087,0.11966988,0.6519945,0.03448616,0.41350211,1.08259242,0.3480055,0.30324248,0.28063241,2.10061884,0.3562586,0.0058437,1.51351816,0.36679537,0.77697184,0.63823934,0.22711904,105.383234,0.37068966,1.67162632,681,133,0.33629351,229.01588,0.44493392,1.48246335,0.72093023,0.17127072,3.25,1177,1.25414365,454,2.99723757,1085,55,4.50909091,71,-1.379,0.23348018,0.15565345,0.07782673,0.68428781,0.27533612,0.50214592,1.24304936,0.31571219,0.4684151,102.010453,0.32093023,2.29438905,0.53157122,0.35974701,130.228419,0.4640884,1.31128118,0.46549192,0.32179954,0.42586751,1.69549005,-17.4,58.5,"http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png","#e81018","#000000"
"9",2021,"Army","FBS Independents",735,117,0.29986141,220.398135,0.48571429,1.1534399,0.86021505,0.10973725,3.21916538,2083,0.97527048,631,1.26738794,820,67,4.97014925,65.9,1.713,0.10340136,0.08163265,0.02176871,0.75918367,0.23720599,0.52329749,0.94760618,0.24081633,0.49738527,0.36723164,2.07810829,0.88027211,0.26966271,174.471776,0.48840804,1.03307974,0.1170068,0.54299402,46.6974854,0.47674419,2.08109376,591,110,0.20486301,121.074037,0.39086294,1.46383327,0.61290323,0.17343173,2.92767528,793,1.05535055,286,1.12177122,304,44,3.97727273,73.9,-1.125,0.16751269,0.0998308,0.0676819,0.65651438,0.16532529,0.45103093,1.25826085,0.34348562,0.28043264,76.6006028,0.27586207,2.10624708,0.45854484,0.17082125,46.2925593,0.38745387,1.20579365,0.53299492,0.24317652,0.4,1.67886629,6.5,75,"http://a.espncdn.com/i/teamlogos/ncaa/500/349.png","#ce9c00","#231f20"
"10",2021,"Auburn","SEC",834,142,0.22341658,186.329425,0.44004796,1.27088387,0.74,0.16962025,3.19594937,1262,1.26582278,500,1.60759494,635,70,3.88571429,72.3,1.258,0.13788969,0.08992806,0.04796163,0.68105516,0.18319083,0.49471831,1.08123124,0.31894484,0.30931215,0.32330827,1.8905628,0.4736211,0.23612468,93.2692502,0.46582278,1.09416537,0.52517986,0.21417157,93.8071479,0.41780822,1.44856804,862,149,0.0987104,85.0883676,0.41183295,1.19131934,0.56140351,0.22926829,2.62634146,1077,0.99268293,407,0.87804878,360,66,3.53030303,72.8,-1.203,0.18039443,0.12470998,0.05568445,0.67053364,0.00047524,0.4550173,0.93547341,0.32946636,0.29863972,98.3957464,0.32394366,1.922705,0.47563805,0.01670368,6.84850679,0.37560976,0.91252143,0.51972158,0.21963336,0.44866071,1.4049257,10.9,85,"http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","#03244d","#E87722"
