season,team,conference,offense.plays,offense.drives,offense.ppa,offense.totalPPA,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.stuffRate,offense.lineYards,offense.lineYardsTotal,offense.secondLevelYards,offense.secondLevelYardsTotal,offense.openFieldYards,offense.openFieldYardsTotal,offense.pointsPerOpportunity,offense.fieldPosition.averageStart,offense.fieldPosition.averagePredictedPoints,offense.havoc.total,offense.havoc.frontSeven,offense.havoc.db,offense.standardDowns.rate,offense.standardDowns.ppa,offense.standardDowns.successRate,offense.standardDowns.explosiveness,offense.passingDowns.rate,offense.passingDowns.ppa,offense.passingDowns.successRate,offense.passingDowns.explosiveness,offense.rushingPlays.rate,offense.rushingPlays.ppa,offense.rushingPlays.totalPPA,offense.rushingPlays.successRate,offense.rushingPlays.explosiveness,offense.passingPlays.rate,offense.passingPlays.ppa,offense.passingPlays.totalPPA,offense.passingPlays.successRate,offense.passingPlays.explosiveness,defense.plays,defense.drives,defense.ppa,defense.totalPPA,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.lineYards,defense.lineYardsTotal,defense.secondLevelYards,defense.secondLevelYardsTotal,defense.openFieldYards,defense.openFieldYardsTotal,defense.pointsPerOpportunity,defense.fieldPosition.averageStart,defense.fieldPosition.averagePredictedPoints,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,defense.standardDowns.rate,defense.standardDowns.ppa,defense.standardDowns.successRate,defense.standardDowns.explosiveness,defense.passingDowns.rate,defense.passingDowns.ppa,defense.passingDowns.totalPPA,defense.passingDowns.successRate,defense.passingDowns.explosiveness,defense.rushingPlays.rate,defense.rushingPlays.ppa,defense.rushingPlays.totalPPA,defense.rushingPlays.successRate,defense.rushingPlays.explosiveness,defense.passingPlays.rate,defense.passingPlays.ppa,defense.passingPlays.successRate,defense.passingPlays.explosiveness,CollinHavocRate,CollinHavocAllowedRate,SP,TAN
2021,Air Force,Mountain West,221,37,0.25169289,55.6241285,0.40723982,1.44962352,0.7,0.140625,3.0515625,586,2.74626866,184,14.625,351,4.05882353,67.5,1.622,0.09049774,0.06334842,0.02714932,0.70135747,0.09762369,0.41290323,1.16278109,0.29864253,0.61352207,0.39393939,2.15569721,0.86877828,0.22520251,43.238882,0.41145833,1.27326029,0.12669683,0.60523817,16.9466688,0.39285714,2.71623221,185,35,0.13742078,25.4228437,0.31351351,1.55350072,1,0.20238095,2.75238095,231,2.85185185,77,12.7,127,4.5,74.9,-1.046,0.22702703,0.13513514,0.09189189,0.58918919,0.04666499,0.35779817,1.18378517,0.41081081,0.26758368,12.3904849,0.25,2.31239052,0.45405405,0.18544813,15.5776428,0.28571429,1.52694927,0.52972973,0.12643352,0.33673469,1.67068172,0.1890756303,0.06802721088,0,73
2021,Akron,Mid-American,287,47,0.10164673,29.1726121,0.40766551,1.16199454,0.61111111,0.1294964,3.20215827,445,2.7962963,151,6.05263158,115,4.22222222,73.7,1.116,0.18118467,0.14634146,0.03484321,0.65156794,0.04284814,0.45454545,1.00499049,0.34843206,0.2116001,0.32,1.57903657,0.48432056,0.1221793,16.9829228,0.39568345,1.08402042,0.51219512,0.09444134,13.8828771,0.41496599,1.27910534,242,43,0.44315789,107.24421,0.5661157,1.21143321,0.79166667,0.15789474,3.67669173,489,3.30769231,215,7.63333333,229,5.96,69.3,-1.485,0.11570248,0.10330579,0.01239669,0.77272727,0.50295613,0.65240642,1.18067302,0.22727273,0.23984389,51.1556194,0.27272727,1.46161612,0.54958678,0.42171873,56.0885909,0.56390977,1.11016903,0.45041322,0.46931761,0.56880734,1.33393021,0.09442060086,0.1569343066,-24.1,49
2021,Alabama,SEC,263,45,0.3922389,103.158831,0.48288973,1.38986398,0.71428571,0.184,3.092,387,2.90566038,154,8.40909091,185,5.39285714,69.3,1.5,0.14828897,0.11406844,0.03422053,0.70722433,0.31698771,0.52688172,1.18991903,0.29277567,0.57401452,0.37662338,2.06554004,0.47528517,0.14695226,18.3690319,0.472,0.93160913,0.52471483,0.61441883,84.7897992,0.49275362,1.78746746,245,49,0.07682803,18.8228673,0.37959184,1.17072804,0.58823529,0.23308271,2.38796992,318,2.95555556,133,6,96,4.13333333,74.2,-1.055,0.20816327,0.13061224,0.07755102,0.66530612,0.00044767,0.43558282,0.97084376,0.33469388,0.22865728,19.8522446,0.26829268,1.8158091,0.54285714,-0.0077397,-1.0293773,0.36842105,0.94542133,0.45714286,0.17725218,0.39285714,1.42163778,0.2049180328,0.1136363636,26.3,103.5
2021,Appalachian State,Sun Belt,292,49,0.29458728,86.0194864,0.52054795,1.1316937,0.70833333,0.2,3.1425,503,3.29850746,221,7.3,219,4.40740741,73.8,1.151,0.15753425,0.10273973,0.05479452,0.71575342,0.33952925,0.58851675,1.05281303,0.28424658,0.18142015,0.34939759,1.46625652,0.54794521,0.21318804,34.1100869,0.5125,1.01310542,0.45205479,0.39325303,51.9093995,0.53030303,1.27061139,265,47,0.09965499,26.4085715,0.38867925,1.27915873,0.88888889,0.25225225,2.5,278,3.77142857,132,6.95,139,2.81818182,72.8,-1.208,0.16981132,0.10943396,0.06037736,0.63396226,0.12708353,0.46428571,1.06208056,0.36603774,0.05214989,16.7913917,0.25773196,1.95644261,0.41886792,0.08664126,9.61717974,0.37837838,1.11347032,0.58113208,0.10903501,0.3961039,1.39323927,0.1698113208,0.1081081081,11.2,84
2021,Arizona,Pac-12,295,54,-0.014443,-4.2606988,0.40677966,0.8612149,0.83333333,0.21138211,2.89674797,356,2.55769231,133,4.38888889,79,2.38095238,73.9,1.108,0.18644068,0.13220339,0.05423729,0.68474576,-0.0066003,0.5,0.74241866,0.31525424,-0.0314778,0.20430108,1.49271069,0.41694915,0.07353364,9.04463798,0.43902439,0.76128497,0.57966102,-0.0371668,-6.3555258,0.38011696,1.06440324,244,53,0.19649754,47.9453998,0.37704918,1.41752092,0.69230769,0.1986755,2.80728477,424,3.28846154,171,8.85185185,239,4.55555556,71.9,-1.259,0.19262295,0.12295082,0.06967213,0.6352459,0.08545488,0.40645161,1.09539398,0.3647541,0.38988644,33.7343103,0.3258427,2.11731392,0.61885246,0.11711176,17.6838755,0.37748344,1.11354821,0.37295082,0.37070671,0.36263736,2.13371098,0.1746031746,0.1655405405,-12.3,64.5
2021,Arizona State,Pac-12,251,44,0.371231,93.1789814,0.52988048,1.18667956,0.9047619,0.13986014,3.87692308,554,3.36111111,242,6.47222222,233,4.71428571,68.6,1.568,0.14741036,0.11952191,0.02788845,0.73306773,0.35999277,0.59782609,1.0516138,0.26693227,0.4020942,0.34328358,1.83264623,0.56972112,0.44491009,63.6221431,0.57342657,1.09184728,0.43027888,0.27367443,29.5568383,0.47222222,1.33915499,232,44,0.07050283,16.3566575,0.36637931,1.06717846,0.77777778,0.16666667,3.13888889,396,3.34090909,147,6.19047619,130,3.42105263,75.3,-1.015,0.20689655,0.13793103,0.06896552,0.68103448,0.07088046,0.43670886,0.88938604,0.31896552,0.06969654,2.41608288,0.21621622,1.83390829,0.54310345,0.17648768,22.2374478,0.42857143,0.91868935,0.44396552,0.02345712,0.30097087,1.32583693,0.1991525424,0.1215686275,17.3,86
2021,Arkansas,SEC,272,54,0.30431045,82.7724423,0.46323529,1.237162,0.83333333,0.20765027,3.18360656,583,2.97647059,253,8.19444444,295,3.20833333,71.4,1.313,0.14705882,0.10294118,0.04411765,0.69485294,0.23816029,0.51322751,1.11914035,0.30514706,0.45494153,0.34939759,1.63192407,0.67279412,0.23464907,42.9407798,0.50273224,1.00991559,0.31985294,0.4875932,42.4206084,0.3908046,1.85206404,260,52,-0.0242105,-6.2947248,0.34230769,1.10924034,0.61111111,0.25581395,2.37984496,307,1.82608696,84,24,144,2,70.3,-1.333,0.20384615,0.14230769,0.06153846,0.63461538,-0.0249065,0.44848485,0.92153119,0.36538462,-0.0230016,2.35059259,0.15789474,2.03527213,0.49615385,-0.0518266,-6.6856299,0.34883721,0.93414147,0.49615385,0.01822165,0.34108527,1.28831872,0.1923076923,0.1102941176,15.4,87
2021,Arkansas State,Sun Belt,244,47,0.22505187,54.9126564,0.3852459,1.29918682,0.75,0.12941176,3.16470588,269,2.51724138,73,10.1111111,91,3.7,72.5,1.234,0.22131148,0.11885246,0.10245902,0.66803279,0.15989154,0.44171779,1.1011121,0.33196721,0.35617697,0.27160494,1.94743137,0.34836066,0.09199639,7.81969351,0.41176471,0.72884752,0.64754098,0.3128731,49.4339505,0.37341772,1.6375237,210,43,0.38241934,80.3080616,0.45238095,1.50064574,0.90909091,0.125,3.23295455,285,3.09677419,96,12.7333333,191,4.05555556,73,-1.247,0.18571429,0.0952381,0.09047619,0.68571429,0.2738393,0.48611111,1.24870327,0.31428571,0.61932125,55.2847428,0.37878788,2.20608467,0.41904762,0.3209808,28.2463106,0.44318182,1.17311827,0.57142857,0.46070619,0.46666667,1.72874524,0.1522491349,0.1290322581,-15.3,63.5
2021,Army,FBS Independents,263,41,0.3491718,91.8321834,0.49809886,1.14569943,0.86842105,0.11020408,3.16897959,776,2.61904762,220,12.2903226,381,5.30769231,63,1.944,0.09885932,0.08365019,0.01520913,0.79087452,0.28356861,0.53365385,0.92185835,0.20912548,0.59727112,0.36363636,2.38801741,0.93155894,0.28860622,70.7085235,0.48979592,1.03494989,0.06844106,1.17353666,21.1236599,0.61111111,2.35387622,179,34,0.21603378,38.6700469,0.39106145,1.47457175,0.71428571,0.21538462,2.62923077,171,3.31818182,73,7.36363636,81,3.66666667,77.1,-0.841,0.18994413,0.08379888,0.10614525,0.66480447,0.15012073,0.43697479,1.30988917,0.33519553,0.34676134,25.78013,0.3,1.95032144,0.36312849,0.20025246,13.0164097,0.4,1.28202956,0.63128492,0.22814274,0.38938053,1.58834668,0.2010050251,0.0780141844,2.8,76
2021,Auburn,SEC,276,46,0.36959914,102.009363,0.49275362,1.31625786,0.76190476,0.11724138,3.62827586,526,3.49206349,220,12.84375,411,4.55172414,69.4,1.5,0.11956522,0.07246377,0.04710145,0.72826087,0.34387067,0.53731343,1.1740984,0.27173913,0.43855144,0.37333333,1.86458722,0.52536232,0.42848636,62.1305219,0.51724138,1.23624427,0.47463768,0.30441863,39.8788409,0.46564885,1.41463523,269,51,0.01632738,4.39206536,0.39405204,0.86448775,0.52173913,0.26666667,2.26,305,3.02941176,103,10.0714286,141,4.23076923,75.2,-0.965,0.2267658,0.18959108,0.03717472,0.66171004,-0.0204293,0.42696629,0.89917267,0.33828996,0.08822512,25.2182842,0.32967033,0.77661926,0.50185874,-0.0104986,-1.4173061,0.31111111,1.13264513,0.48698885,0.19250599,0.46564885,1.04054948,0.2209302326,0.0802919708,13,88.5
