"","matchup","game_id","season","week","season_type","start_time","home_team","home_conference","away_team","away_conference"
"1","Virginia @ Miami",401282646,2021,5,"regular","2021-09-30T23:30:00.000Z","Miami","ACC","Virginia","ACC"
"2","Houston @ Tulsa",401301012,2021,5,"regular","2021-10-01T23:30:00.000Z","Tulsa","American Athletic","Houston","American Athletic"
"3","Iowa @ Maryland",401282759,2021,5,"regular","2021-10-02T00:00:00.000Z","Maryland","Big Ten","Iowa","Big Ten"
"4","BYU @ Utah State",401309912,2021,5,"regular","2021-10-02T01:00:00.000Z","Utah State","Mountain West","BYU","FBS Independents"
"5","Boston College @ Clemson",401282647,2021,5,"regular","2021-10-02T23:30:00.000Z","Clemson","ACC","Boston College","ACC"
"6","Cincinnati @ Notre Dame",401282708,2021,5,"regular","2021-10-02T18:30:00.000Z","Notre Dame","FBS Independents","Cincinnati","American Athletic"
"7","UCF @ Navy",401301013,2021,5,"regular","2021-10-02T19:30:00.000Z","Navy","American Athletic","UCF","American Athletic"
"8","Liberty @ UAB",401282221,2021,5,"regular","2021-10-02T23:00:00.000Z","UAB","Conference USA","Liberty","FBS Independents"
"9","Fresno State @ Hawai'i",401310712,2021,5,"regular","2021-10-03T03:00:00.000Z","Hawai'i","Mountain West","Fresno State","Mountain West"
"10","Arkansas @ Georgia",401282090,2021,5,"regular","2021-10-02T16:00:00.000Z","Georgia","SEC","Arkansas","SEC"
"11","Duke @ North Carolina",401282650,2021,5,"regular","2021-10-02T16:00:00.000Z","North Carolina","ACC","Duke","ACC"
"12","Tennessee @ Missouri",401282093,2021,5,"regular","2021-10-02T16:00:00.000Z","Missouri","SEC","Tennessee","SEC"
"13","Pittsburgh @ Georgia Tech",401282649,2021,5,"regular","2021-10-02T16:00:00.000Z","Georgia Tech","ACC","Pittsburgh","ACC"
"14","Texas @ TCU",401287915,2021,5,"regular","2021-10-02T16:00:00.000Z","TCU","Big 12","Texas","Big 12"
"15","Memphis @ Temple",401301015,2021,5,"regular","2021-10-02T16:00:00.000Z","Temple","American Athletic","Memphis","American Athletic"
"16","Western Michigan @ Buffalo",401309561,2021,5,"regular","2021-10-02T16:00:00.000Z","Buffalo","Mid-American","Western Michigan","Mid-American"
"17","Louisville @ Wake Forest",401282651,2021,5,"regular","2021-10-02T16:30:00.000Z","Wake Forest","ACC","Louisville","ACC"
"18","Appalachian State @ Georgia State",401309612,2021,5,"regular","2021-10-02T18:00:00.000Z","Georgia State","Sun Belt","Appalachian State","Sun Belt"
"19","Louisiana Monroe @ Coastal Carolina",401309614,2021,5,"regular","2021-10-02T18:30:00.000Z","Coastal Carolina","Sun Belt","Louisiana Monroe","Sun Belt"
"20","Eastern Michigan @ Northern Illinois",401309558,2021,5,"regular","2021-10-02T18:30:00.000Z","Northern Illinois","Mid-American","Eastern Michigan","Mid-American"
"21","Ole Miss @ Alabama",401282089,2021,5,"regular","2021-10-02T19:30:00.000Z","Alabama","SEC","Ole Miss","SEC"
"22","Oregon @ Stanford",401309864,2021,5,"regular","2021-10-02T19:30:00.000Z","Stanford","Pac-12","Oregon","Pac-12"
"23","Oklahoma @ Kansas State",401287913,2021,5,"regular","2021-10-02T19:30:00.000Z","Kansas State","Big 12","Oklahoma","Big 12"
"24","Troy @ South Carolina",401282094,2021,5,"regular","2021-10-02T19:30:00.000Z","South Carolina","SEC","Troy","Sun Belt"
"25","Syracuse @ Florida State",401282648,2021,5,"regular","2021-10-02T19:30:00.000Z","Florida State","ACC","Syracuse","ACC"
"26","Texas Tech @ West Virginia",401287916,2021,5,"regular","2021-10-02T19:30:00.000Z","West Virginia","Big 12","Texas Tech","Big 12"
"27","Tulane @ East Carolina",401301014,2021,5,"regular","2021-10-02T19:30:00.000Z","East Carolina","American Athletic","Tulane","American Athletic"
"28","Central Michigan @ Miami (OH)",401308835,2021,5,"regular","2021-10-02T19:30:00.000Z","Miami (OH)","Mid-American","Central Michigan","Mid-American"
"29","Ohio @ Akron",401309560,2021,5,"regular","2021-10-02T19:30:00.000Z","Akron","Mid-American","Ohio","Mid-American"
"30","Bowling Green @ Kent State",401309562,2021,5,"regular","2021-10-02T19:30:00.000Z","Kent State","Mid-American","Bowling Green","Mid-American"
"31","South Florida @ SMU",401301016,2021,5,"regular","2021-10-02T20:00:00.000Z","SMU","American Athletic","South Florida","American Athletic"
"32","Arkansas State @ Georgia Southern",401309613,2021,5,"regular","2021-10-02T20:00:00.000Z","Georgia Southern","Sun Belt","Arkansas State","Sun Belt"
